,Дата,"Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет","Срок до погашения, лет"
,Дата,"0,25","0,5","0,75",1,2,3,5,7,10,15,20,30
0,02.09.2022,759,762,765,768,779,795,835,870,904,932,947,964
1,01.09.2022,764,766,769,772,786,805,848,881,908,929,940,953
2,31.08.2022,771,768,768,769,784,805,851,884,911,932,943,956
3,30.08.2022,763,762,763,766,785,810,853,882,906,926,936,947
4,29.08.2022,767,765,765,767,785,808,852,882,905,924,935,945
5,26.08.2022,769,761,758,759,780,808,857,886,908,924,933,943
6,25.08.2022,769,755,750,750,778,811,859,885,904,919,925,932
7,24.08.2022,768,759,756,758,783,814,862,889,909,924,931,939
8,23.08.2022,763,748,744,748,788,824,866,887,902,914,920,925
9,22.08.2022,777,762,757,759,788,820,865,888,903,915,921,927
10,19.08.2022,751,738,735,737,772,810,862,888,903,915,922,929
11,18.08.2022,751,739,736,739,773,809,855,878,893,904,911,917
12,17.08.2022,738,734,735,740,774,808,855,879,894,906,912,919
13,16.08.2022,735,736,740,746,778,810,854,878,896,912,919,926
14,15.08.2022,734,736,741,748,781,812,854,878,899,915,922,928
15,12.08.2022,736,738,743,750,783,814,856,878,896,910,916,922
16,11.08.2022,734,736,741,748,779,810,856,881,898,911,918,925
17,10.08.2022,737,738,742,747,775,803,844,869,891,908,915,923
18,09.08.2022,735,737,742,748,776,801,841,866,885,899,907,913
19,08.08.2022,746,737,737,741,777,807,846,868,886,899,904,909
20,05.08.2022,742,736,736,740,772,805,848,870,887,902,909,916
21,04.08.2022,742,737,736,739,764,793,838,865,884,898,906,913
22,03.08.2022,761,748,743,742,763,793,839,867,888,905,913,921
23,02.08.2022,755,741,734,732,753,785,838,868,888,904,913,922
24,01.08.2022,736,725,721,723,753,785,836,865,887,903,911,919
25,29.07.2022,715,712,714,719,751,785,837,867,889,906,915,925
26,28.07.2022,705,710,717,725,760,792,839,865,886,903,911,920
27,27.07.2022,697,704,712,722,762,797,844,870,891,907,914,921
28,26.07.2022,698,697,703,713,760,799,846,869,887,900,906,913
29,25.07.2022,705,702,707,717,765,805,849,868,883,894,900,906
30,22.07.2022,742,734,734,739,775,808,849,869,883,895,901,908
31,21.07.2022,795,782,777,778,805,837,877,895,903,909,913,919
32,20.07.2022,841,812,801,800,829,858,890,903,910,915,919,924
33,19.07.2022,848,820,810,810,838,866,896,906,910,915,919,924
34,18.07.2022,836,814,807,808,838,867,896,905,909,914,919,924
35,15.07.2022,837,816,807,805,828,857,890,902,907,912,916,920
36,14.07.2022,816,809,808,811,835,859,890,903,911,918,922,925
37,13.07.2022,785,790,795,801,827,853,889,907,915,923,927,933
38,12.07.2022,789,798,805,812,835,857,886,899,906,914,919,923
39,11.07.2022,790,797,804,811,834,853,878,891,901,913,920,925
40,08.07.2022,811,816,821,826,844,858,877,888,897,907,912,915
41,07.07.2022,809,816,823,829,851,866,881,888,895,905,909,911
42,06.07.2022,822,829,836,844,866,878,889,893,894,898,900,901
43,05.07.2022,834,837,844,851,872,883,892,895,897,902,904,904
44,04.07.2022,839,840,844,849,868,878,887,891,894,896,896,896
45,01.07.2022,870,864,861,860,863,869,879,884,884,885,887,888
46,30.06.2022,875,873,871,869,865,867,874,878,879,881,882,883
47,29.06.2022,889,878,870,864,854,854,863,871,874,878,881,885
48,28.06.2022,865,863,861,859,854,854,861,868,872,877,880,883
49,27.06.2022,849,855,859,861,861,861,863,866,870,875,879,883
50,24.06.2022,880,877,875,873,871,871,873,875,878,880,881,882
